IdAdres,UL,NR_BUD,data,miejsce,typ_miejsc,stan_nawie,oznakowani,oswietleni,warunki_at,wypadek,ilosc_ucze,wiek_spraw,pojazd_spr,wiek_piesz,lekko_rann,ciezko_ran,zabici,geomx,geomy
22,Zajęcza,11,2016-10-22 06:50:00.000,"ZAKRĘT, ŁUK",JEZDNIA,STAN NAWIERZCHNI - MOKRA,OZNAKOWANIE POZIOME - JEST,"ŚWIT, ZMROK",POCHMURNO,NAJECHANIE NA DRZEWO,1,59,SAMOCHÓD OSOBOWY,59,1,0,0,7428222.277,5547452.861
43,Stanisławy Wysockiej,2A,2016-12-01 15:30:00.000,ODCINEK PROSTY,PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - MOKRA,OZNAKOWANIE POZIOME - JEST,"ŚWIT, ZMROK",OPADY DESZCZU,NAJECHANIE NA PIESZEGO,1,41,SAMOCHÓD OSOBOWY,70,1,0,0,7428616.6,5548990.5
43,STANISŁAWY WYSOCKIEJ,2A<,2016-12-02 18:20:00.000,"SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA",PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - SUCHA,OZNAKOWANIE POZIOME - JEST,NOC - DROGA OŚWIETLONA,POCHMURNO,NAJECHANIE NA PIESZEGO,1,68,PIESZY,68,1,0,0,7428616.6,5548990.5
44,al. Jana Pawła II,78,2016-12-09 09:00:00.000,"SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA",PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - SUCHA,OZNAKOWANIE POZIOME - JEST,ŚWIATŁO DZIENNE,POCHMURNO,NAJECHANIE NA PIESZEGO,1,80,PIESZY,80,1,0,0,7428455.574,5548994.115
