IdAdres,UL,NR_BUD,data,miejsce,typ_miejsc,stan_nawie,oznakowani,oswietleni,warunki_at,wypadek,ilosc_ucze,wiek_spraw,pojazd_spr,wiek_piesz,lekko_rann,ciezko_ran,zabici
42,al. Jana Pawła II,80,2016-10-11 16:10:00.000,"SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA",PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - MOKRA,OZNAKOWANIE POZIOME - JEST,ŚWIATŁO DZIENNE,OPADY DESZCZU,NAJECHANIE NA PIESZEGO,1,25,SAMOCHÓD OSOBOWY,27,0,1,0
42,JANA PAWŁA II,80,2016-11-19 22:53:00.000,"SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA","PRZEJAZD TRAMWAJOWY, TOROWISKO TRAMWAJ.",STAN NAWIERZCHNI - MOKRA,OZNAKOWANIE POZIOME - JEST,NOC - DROGA OŚWIETLONA,OPADY DESZCZU,NAJECHANIE NA PIESZEGO,1,58,MOTOROWER,58,1,0,0
42,JANA PAWŁA II,80,2016-11-29 11:05:00.000,"SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA",PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - SUCHA,OZNAKOWANIE POZIOME - JEST,ŚWIATŁO DZIENNE,DOBRE WARUNKI ATMOSFERYCZNE,NAJECHANIE NA PIESZEGO,1,35,ROWER,35,0,1,0
45,ALEJA Jana Pawła II,92,2016-12-14 18:05:00.000,"SYGNALIZACJA ŚWIETLNA - JEST, DZIAŁA",PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - MOKRA,OZNAKOWANIE POZIOME - JEST,NOC - DROGA OŚWIETLONA,DOBRE WARUNKI ATMOSFERYCZNE,NAJECHANIE NA PIESZEGO,1,NULL,AUTOBUS INNY,17,1,0,0
46,ALEJA Jana Pawła II,90,2016-12-21 13:30:00.000,ODCINEK PROSTY,PRZEJŚCIE DLA PIESZYCH,STAN NAWIERZCHNI - MOKRA,OZNAKOWANIE POZIOME - JEST,ŚWIATŁO DZIENNE,POCHMURNO,NAJECHANIE NA PIESZEGO,1,NULL,ROWER,37,1,0,0
